Id,Year,Month,Date,Type,Description,Amount,Status,Category,CreatedAt,UpdatedAt,SettledAt
cc253921-ea90-4cf4-90b6-ea00df6b9ad4,2026,07,2026-07-01,INCOME,Salario,"5171,84",PAGO,Salário,,,2026-07-01
234bc66d-1920-4034-a483-bdf16be381e0,2026,07,2026-07-01,EXPENSE,Curso ingles,220,PAGO,Educação,,,2026-07-01
7f2d7a31-b7fe-4c9f-9045-4fb358d96589,2026,08,2026-08-01,EXPENSE,Curso ingles,220,PENDENTE,Educação,,,
d331a7ba-d524-4dea-b744-1ee1b1161f27,2026,09,2026-09-01,EXPENSE,Curso ingles,220,PENDENTE,Educação,,,
1386d77f-8914-45dd-813c-a7704a208a13,2026,10,2026-10-01,EXPENSE,Curso ingles,220,PENDENTE,Educação,,,
890bbca0-af0f-4a70-8f27-e59793db9a2a,2026,11,2026-11-01,EXPENSE,Curso ingles,220,PENDENTE,Educação,,,
5a5dc158-49a1-42ef-b7f8-abf032b03e57,2026,12,2026-12-01,EXPENSE,Curso ingles,220,PENDENTE,Educação,,,
10efa6bd-69d2-4f0f-84bb-f8ec43054cdc,2026,07,2026-07-10,EXPENSE,Financiamento Apartamento,"1128,28",PENDENTE,Moradia,,,
cf7ba072-55d3-45bd-bbd9-dcb283cb31be,2026,07,2026-07-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
54bd6bf2-b2c6-450c-aa1e-4ccd5a6e94c2,2026,08,2026-08-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
3927db16-429f-4614-a229-24813d1a4afd,2026,09,2026-09-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
b7a67172-3dc0-412e-9287-9640fba9f908,2026,10,2026-10-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
3de6f15b-bef9-4a2f-9d37-fe1d221374a2,2026,11,2026-11-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
f5d8b074-c76a-47b1-a89c-c87464d96b1d,2026,12,2026-12-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
1c39e071-1cf3-4bba-821e-6180c5595ec8,2027,01,2027-01-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
8e796c01-33da-4d89-bbbb-69a4dad110c0,2027,02,2027-02-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
e91b93c5-30c5-47fb-b735-9d610c7eabeb,2027,03,2027-03-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
b08a8976-2326-4a8f-bee2-bf747a67662b,2027,04,2027-04-10,EXPENSE,WIFI,"119,9",PENDENTE,Moradia,,,
2764fda6-7e1a-4724-921b-a0aa6e239dc8,2026,07,2026-07-10,EXPENSE,ENEL,"224,6",PENDENTE,Moradia,,,
b7cbea01-b3be-42d2-b6fb-befd06c5cd8e,2026,08,2026-08-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
390633f7-7614-4a29-8031-7b86546dafc2,2026,09,2026-09-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
03bc9a59-4f3d-4ca1-aa73-7cbc125cdd98,2026,10,2026-10-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
fae786cb-7442-4e16-96f3-40c0511e7a42,2026,11,2026-11-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
f12acf7a-db67-451f-a017-4ae3dbbf53fc,2026,12,2026-12-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
f325ba7a-79e9-4e8a-a3b0-8657aaa49b42,2027,01,2027-01-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
d2b66901-78a4-4e84-b22d-cbdafd5bf458,2027,02,2027-02-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
bbba5fed-08e3-4468-a9dc-be280f2767ed,2027,03,2027-03-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
9868eeab-9ada-4cc3-ba44-eaa4d0f53c4e,2027,04,2027-04-10,EXPENSE,ENEL,"286,05",PENDENTE,Moradia,,,
b43a49e4-8a10-4eb4-92f3-5a2b05bdd7f4,2026,07,2026-07-10,EXPENSE,Ar condicionado Milena,"115,95",PENDENTE,Moradia,,,
0e6484d4-8bdf-4387-834d-73b9f3de6fca,2026,08,2026-08-10,EXPENSE,Ar condicionado Milena,"115,95",PENDENTE,Moradia,,,
ef1e562c-0a76-4521-a3b4-8ccbf11158c8,2026,09,2026-09-10,EXPENSE,Ar condicionado Milena,"115,95",PENDENTE,Moradia,,,
17a25ff7-b997-4ec0-b393-dbc0e655290f,2026,07,2026-07-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
336e6539-88a0-46d9-900d-d531b45a07ab,2026,08,2026-08-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
15a5d1a0-684b-4cbd-afb8-6c077395c214,2026,09,2026-09-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
f5bac785-3993-4f44-b22e-aa5811702606,2026,10,2026-10-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
119936df-7303-4afb-bcbb-6445c3e3f73f,2026,11,2026-11-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
09137550-666c-4601-9f84-241013e7c299,2026,12,2026-12-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
5071eb59-19f8-46a8-ab27-7552471740aa,2027,01,2027-01-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
276104f9-6644-48b5-bf81-e6e593d998de,2027,02,2027-02-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
df45353b-550c-4d1c-a6a7-75771451a0b3,2027,03,2027-03-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
01e36167-858f-4588-b371-c59d5e8d5624,2027,04,2027-04-10,EXPENSE,Condominio,"522,29",PENDENTE,Moradia,,,
b2f08f22-ca30-4aa1-bb18-aa0283b5d419,2026,07,2026-07-10,EXPENSE,Fatura Caixa,"1503,07",PENDENTE,Cartão,,,
7e4105c1-8fe4-47b3-b374-f269e1fc8722,2026,08,2026-08-10,EXPENSE,Fatura Caixa,"998,74",PENDENTE,Cartão,,,
fdf3819c-1dab-4520-9458-e9743ef200fb,2026,07,2026-07-10,EXPENSE,Fatura Pagbank,"1542,49",PENDENTE,Cartão,,,
a3ad4aac-4d0b-45f6-8140-5f9fe7a16998,2026,07,2026-07-01,INCOME,Restituicao imposto,"3927,71",PAGO,Impostos,,,2026-07-01
e07e8403-aa73-4f4d-b80f-f384270c757a,2026,07,2026-07-01,EXPENSE,Compras,"244,07",PAGO,Alimentação,,,2026-07-01
639c9b6a-37f5-4a1f-a302-db3cf3974fc1,2026,07,2026-07-01,EXPENSE,Chá,150,PAGO,Alimentação,,,2026-07-01
660445b2-2c67-43cf-b621-4e570fd67490,2026,07,2026-07-10,EXPENSE,Fatura Itaú,392,PENDENTE,Cartão,,,
09224c9a-66aa-4a59-a1e3-49b15bbcf15c,2026,07,2026-07-02,EXPENSE,Divida mãe,500,PAGO,Geral,,,2026-07-02
75ba9f7e-61ef-4f2d-89cc-50ce7dcf0744,2026,08,2026-08-01,INCOME,Salário,"5171,7",PENDENTE,Salário,,,
